,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,7,1/1(100.0%),76.0,0/0,0/0,0/0,1/1(76.0%),0/0,0/0,0/0
1,2016-2017,1,7,1/1(100.0%),17.0,0/0,0/0,0/0,0/0,1/1(17.0%),0/0,0/0
2,2018-2019,1,7,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,7,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,7,3/3(100.0%),81.0,0/0,0/0,0/0,3/3(81.0%),0/0,0/0,0/0
5,2016-2017,3,7,3/3(100.0%),72.0,0/0,0/0,0/0,2/2(99.0%),1/1(17.0%),0/0,0/0
6,2018-2019,3,7,2/3(67.0%),49.0,0/0,0/1,0/0,1/1(100.0%),1/1(46.0%),0/0,0/0
7,2017-2018,3,7,3/3(100.0%),87.0,0/0,0/0,0/0,3/3(87.0%),0/0,0/0,0/0
8,2019-2020,5,7,5/5(100.0%),53.0,1/1(8.0%),0/0,0/0,3/3(81.0%),1/1(17.0%),0/0,0/0
9,2016-2017,5,7,5/5(100.0%),66.0,0/0,0/0,0/0,3/3(99.0%),2/2(17.0%),0/0,0/0
10,2018-2019,5,7,4/5(80.0%),66.0,0/0,0/1,0/0,3/3(95.0%),1/1(46.0%),0/0,0/0
11,2017-2018,5,7,5/5(100.0%),75.0,0/0,0/0,0/0,3/3(87.0%),2/2(55.0%),0/0,0/0
12,2019-2020,10,7,10/10(100.0%),72.0,1/1(8.0%),0/0,0/0,8/8(87.0%),1/1(17.0%),0/0,0/0
13,2016-2017,10,7,10/10(100.0%),74.0,1/1(17.0%),0/0,0/0,7/7(98.0%),2/2(17.0%),0/0,0/0
14,2018-2019,10,7,8/10(80.0%),63.0,0/1,0/1,0/0,6/6(94.0%),1/1(46.0%),1/1(22.0%),0/0
15,2017-2018,10,7,10/10(100.0%),75.0,0/0,0/0,0/0,4/4(90.0%),6/6(64.0%),0/0,0/0
16,2016-2017,20,7,20/20(100.0%),62.0,1/1(17.0%),0/0,2/2(17.0%),11/11(99.0%),6/6(17.0%),0/0,0/0
17,2018-2019,20,7,18/20(90.0%),60.0,0/1,0/1,2/2(20.0%),10/10(91.0%),4/4(58.0%),1/1(22.0%),1/1(2.0%)
18,2017-2018,20,7,20/20(100.0%),72.0,0/0,0/0,0/0,7/7(93.0%),10/10(65.0%),2/2(58.0%),1/1(17.0%)
