,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,4,1/1(100.0%),96.0,0/0,0/0,0/0,1/1(96.0%),0/0,0/0,0/0
1,2016-2017,1,4,1/1(100.0%),33.0,0/0,0/0,0/0,0/0,1/1(33.0%),0/0,0/0
2,2018-2019,1,4,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,4,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,4,3/3(100.0%),92.0,0/0,0/0,0/0,3/3(92.0%),0/0,0/0,0/0
5,2016-2017,3,4,3/3(100.0%),78.0,0/0,0/0,0/0,2/2(100.0%),1/1(33.0%),0/0,0/0
6,2018-2019,3,4,2/3(67.0%),51.0,0/0,0/1,0/0,1/1(100.0%),1/1(54.0%),0/0,0/0
7,2017-2018,3,4,3/3(100.0%),89.0,0/0,0/0,0/0,3/3(89.0%),0/0,0/0,0/0
8,2019-2020,5,4,4/5(80.0%),62.0,0/1,0/0,0/0,3/3(92.0%),1/1(33.0%),0/0,0/0
9,2016-2017,5,4,5/5(100.0%),73.0,0/0,0/0,0/0,3/3(100.0%),2/2(33.0%),0/0,0/0
10,2018-2019,5,4,4/5(80.0%),69.0,0/0,0/1,0/0,3/3(97.0%),1/1(54.0%),0/0,0/0
11,2017-2018,5,4,5/5(100.0%),79.0,0/0,0/0,0/0,3/3(89.0%),2/2(64.0%),0/0,0/0
12,2019-2020,10,4,9/10(90.0%),78.0,0/1,0/0,0/0,8/8(94.0%),1/1(33.0%),0/0,0/0
13,2016-2017,10,4,9/10(90.0%),77.0,0/1,0/0,0/0,7/7(100.0%),2/2(33.0%),0/0,0/0
14,2018-2019,10,4,8/10(80.0%),67.0,0/1,0/1,0/0,6/6(98.0%),1/1(54.0%),1/1(28.0%),0/0
15,2017-2018,10,4,10/10(100.0%),79.0,0/0,0/0,0/0,4/4(92.0%),6/6(71.0%),0/0,0/0
16,2016-2017,20,4,18/20(90.0%),67.0,0/1,0/0,1/2(33.0%),11/11(100.0%),6/6(33.0%),0/0,0/0
17,2018-2019,20,4,16/20(80.0%),64.0,0/1,0/1,1/2(30.0%),10/10(95.0%),4/4(66.0%),1/1(28.0%),0/1
18,2017-2018,20,4,20/20(100.0%),76.0,0/0,0/0,0/0,7/7(93.0%),10/10(71.0%),2/2(66.0%),1/1(33.0%)
