,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,6,1/1(100.0%),82.0,0/0,0/0,0/0,1/1(82.0%),0/0,0/0,0/0
1,2016-2017,1,6,1/1(100.0%),20.0,0/0,0/0,0/0,0/0,1/1(20.0%),0/0,0/0
2,2018-2019,1,6,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,6,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,6,3/3(100.0%),83.0,0/0,0/0,0/0,3/3(83.0%),0/0,0/0,0/0
5,2016-2017,3,6,3/3(100.0%),73.0,0/0,0/0,0/0,2/2(100.0%),1/1(20.0%),0/0,0/0
6,2018-2019,3,6,2/3(67.0%),49.0,0/0,0/1,0/0,1/1(100.0%),1/1(48.0%),0/0,0/0
7,2017-2018,3,6,3/3(100.0%),88.0,0/0,0/0,0/0,3/3(88.0%),0/0,0/0,0/0
8,2019-2020,5,6,5/5(100.0%),56.0,1/1(8.0%),0/0,0/0,3/3(83.0%),1/1(20.0%),0/0,0/0
9,2016-2017,5,6,5/5(100.0%),68.0,0/0,0/0,0/0,3/3(100.0%),2/2(20.0%),0/0,0/0
10,2018-2019,5,6,4/5(80.0%),67.0,0/0,0/1,0/0,3/3(95.0%),1/1(48.0%),0/0,0/0
11,2017-2018,5,6,5/5(100.0%),76.0,0/0,0/0,0/0,3/3(88.0%),2/2(57.0%),0/0,0/0
12,2019-2020,10,6,10/10(100.0%),74.0,1/1(8.0%),0/0,0/0,8/8(89.0%),1/1(20.0%),0/0,0/0
13,2016-2017,10,6,10/10(100.0%),75.0,1/1(20.0%),0/0,0/0,7/7(99.0%),2/2(20.0%),0/0,0/0
14,2018-2019,10,6,8/10(80.0%),64.0,0/1,0/1,0/0,6/6(95.0%),1/1(48.0%),1/1(24.0%),0/0
15,2017-2018,10,6,10/10(100.0%),76.0,0/0,0/0,0/0,4/4(91.0%),6/6(66.0%),0/0,0/0
16,2016-2017,20,6,20/20(100.0%),64.0,1/1(20.0%),0/0,2/2(20.0%),11/11(99.0%),6/6(20.0%),0/0,0/0
17,2018-2019,20,6,18/20(90.0%),61.0,0/1,0/1,2/2(22.0%),10/10(92.0%),4/4(60.0%),1/1(24.0%),1/1(2.0%)
18,2017-2018,20,6,20/20(100.0%),73.0,0/0,0/0,0/0,7/7(93.0%),10/10(66.0%),2/2(60.0%),1/1(20.0%)
