,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,5,1/1(100.0%),88.0,0/0,0/0,0/0,1/1(88.0%),0/0,0/0,0/0
1,2016-2017,1,5,1/1(100.0%),25.0,0/0,0/0,0/0,0/0,1/1(25.0%),0/0,0/0
2,2018-2019,1,5,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,5,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,5,3/3(100.0%),86.0,0/0,0/0,0/0,3/3(86.0%),0/0,0/0,0/0
5,2016-2017,3,5,3/3(100.0%),75.0,0/0,0/0,0/0,2/2(100.0%),1/1(25.0%),0/0,0/0
6,2018-2019,3,5,2/3(67.0%),50.0,0/0,0/1,0/0,1/1(100.0%),1/1(50.0%),0/0,0/0
7,2017-2018,3,5,3/3(100.0%),88.0,0/0,0/0,0/0,3/3(88.0%),0/0,0/0,0/0
8,2019-2020,5,5,4/5(80.0%),57.0,0/1,0/0,0/0,3/3(86.0%),1/1(25.0%),0/0,0/0
9,2016-2017,5,5,5/5(100.0%),70.0,0/0,0/0,0/0,3/3(100.0%),2/2(25.0%),0/0,0/0
10,2018-2019,5,5,4/5(80.0%),67.0,0/0,0/1,0/0,3/3(95.0%),1/1(50.0%),0/0,0/0
11,2017-2018,5,5,5/5(100.0%),77.0,0/0,0/0,0/0,3/3(88.0%),2/2(60.0%),0/0,0/0
12,2019-2020,10,5,9/10(90.0%),75.0,0/1,0/0,0/0,8/8(91.0%),1/1(25.0%),0/0,0/0
13,2016-2017,10,5,9/10(90.0%),75.0,0/1,0/0,0/0,7/7(99.0%),2/2(25.0%),0/0,0/0
14,2018-2019,10,5,8/10(80.0%),65.0,0/1,0/1,0/0,6/6(96.0%),1/1(50.0%),1/1(26.0%),0/0
15,2017-2018,10,5,10/10(100.0%),77.0,0/0,0/0,0/0,4/4(91.0%),6/6(67.0%),0/0,0/0
16,2016-2017,20,5,19/20(95.0%),65.0,0/1,0/0,2/2(25.0%),11/11(100.0%),6/6(25.0%),0/0,0/0
17,2018-2019,20,5,17/20(85.0%),63.0,0/1,0/1,2/2(26.0%),10/10(93.0%),4/4(63.0%),1/1(26.0%),0/1
18,2017-2018,20,5,20/20(100.0%),74.0,0/0,0/0,0/0,7/7(93.0%),10/10(68.0%),2/2(62.0%),1/1(25.0%)
