,Season,Top_n_peaks,Top_n_probs,HitRate(%),Performance(%),12,15,16,17,18,19,20
0,2019-2020,1,8,1/1(100.0%),74.0,0/0,0/0,0/0,1/1(74.0%),0/0,0/0,0/0
1,2016-2017,1,8,1/1(100.0%),14.0,0/0,0/0,0/0,0/0,1/1(14.0%),0/0,0/0
2,2018-2019,1,8,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
3,2017-2018,1,8,1/1(100.0%),100.0,0/0,0/0,0/0,1/1(100.0%),0/0,0/0,0/0
4,2019-2020,3,8,3/3(100.0%),79.0,0/0,0/0,0/0,3/3(79.0%),0/0,0/0,0/0
5,2016-2017,3,8,3/3(100.0%),69.0,0/0,0/0,0/0,2/2(97.0%),1/1(14.0%),0/0,0/0
6,2018-2019,3,8,2/3(67.0%),48.0,0/0,0/1,0/0,1/1(100.0%),1/1(44.0%),0/0,0/0
7,2017-2018,3,8,3/3(100.0%),87.0,0/0,0/0,0/0,3/3(87.0%),0/0,0/0,0/0
8,2019-2020,5,8,5/5(100.0%),52.0,1/1(8.0%),0/0,0/0,3/3(79.0%),1/1(14.0%),0/0,0/0
9,2016-2017,5,8,5/5(100.0%),64.0,0/0,0/0,0/0,3/3(98.0%),2/2(14.0%),0/0,0/0
10,2018-2019,5,8,4/5(80.0%),66.0,0/0,0/1,0/0,3/3(95.0%),1/1(44.0%),0/0,0/0
11,2017-2018,5,8,5/5(100.0%),74.0,0/0,0/0,0/0,3/3(87.0%),2/2(54.0%),0/0,0/0
12,2019-2020,10,8,10/10(100.0%),71.0,1/1(8.0%),0/0,0/0,8/8(86.0%),1/1(14.0%),0/0,0/0
13,2016-2017,10,8,10/10(100.0%),73.0,1/1(14.0%),0/0,0/0,7/7(98.0%),2/2(14.0%),0/0,0/0
14,2018-2019,10,8,8/10(80.0%),63.0,0/1,0/1,0/0,6/6(94.0%),1/1(44.0%),1/1(22.0%),0/0
15,2017-2018,10,8,10/10(100.0%),74.0,0/0,0/0,0/0,4/4(90.0%),6/6(63.0%),0/0,0/0
16,2016-2017,20,8,20/20(100.0%),60.0,1/1(14.0%),0/0,2/2(14.0%),11/11(99.0%),6/6(14.0%),0/0,0/0
17,2018-2019,20,8,18/20(90.0%),60.0,0/1,0/1,2/2(18.0%),10/10(91.0%),4/4(57.0%),1/1(22.0%),1/1(2.0%)
18,2017-2018,20,8,20/20(100.0%),71.0,0/0,0/0,0/0,7/7(93.0%),10/10(64.0%),2/2(57.0%),1/1(14.0%)
